אַ ביסל|קצת|a little
רעספעקטירט|כיבד|respected
געליבט|אהוב|beloved
פיהרערשאפט|מנהיגות|leadership
אויפגעשטורעמט|סער, התרגש|stirred up
אוועקגערויבט|נגזל|robbed away
אומבאריהרט|לא נגוע|untouched
פארזיכטיג|זהיר|careful
פארשטיקט|נחנק, דוכא|suffocated, stifled
פארביטערטקייט|מרירות|bitterness
געקימערט|דאג|cared, worried
פארשוין|אדם, דמות|person, personage
אומגעקוקט|הביט אחורה|looked back
פארלאטעט|מטולא|patched
לאפטשעס|נעלי קליעה|bast shoes
וואנד|קיר|wall
געקנאטען|לש|kneaded
פארוואונדערונג|פליאה|astonishment
אויסקוקען|להיראות; לצפות|to look; to await
אונטערהאלט|פרנסה; שעשוע|sustenance; entertainment
איינזעהעניש|תובנה|insight
צוגעטראכט|חשב, המציא|thought up
אנפילען|למלא|to fill
אנשטריינגען|להתאמץ|to exert oneself
אוועקגעשיינקט|העניק במתנה|gave away
נייגונג|נטייה|inclination
פארזאמען|לאחר, להחמיץ|to be late, to miss
טאכטערעל|בת קטנה|little daughter
פרויענצימער|אישה|woman
שוידערליכע|מזעזע, נורא|dreadful
הארציגקייט|לבביות|cordiality
שלעכטקייט|רשעות, רוע|wickedness
געדרונגען|נבע, הוסק|derived, deduced
דורכגעוועבט|שזור|interwoven
וואנדערער|נודד|wanderer
געשטראהלט|קרן, זרח|radiated
פארפעסטיגט|חוזק|fortified
איינצופלאנצען|לנטוע, להשריש|to implant
געמוסרט|הוכיח, הטיף מוסר|admonished
פארדארבענע|מושחתים|corrupt
אומבאשיצט|לא מוגן|unprotected
געהונגערט|רעב|starved
פראדוקטיוו|פרודוקטיבי|productive
ערנעהרונג|תזונה, פרנסה|nourishment
לויבענסווערטער|ראוי לשבח|praiseworthy
אנטפלעקטער|נחשף|revealed
דערהויבענדיג|מרומם|uplifting
וויינטרויבען|ענבים|grapes
אויספיהרער|מבצע|executor
אנצוהאלטען|להחזיק מעמד|to hold on
צופאלען|ליפול; מקרים|to fall; incidents
קערפערשאפט|גופניות|corporeality
פארטשריט|התקדמות|progress
נויטווענדיגקייט|הכרח|necessity
אויפשריפט|כתובת, כותרת|inscription
אפצאלן|לשלם, לפרוע|to pay off
בייקומען|להשיג, להתגבר|to obtain, to overcome
אויסגעקריצט|חקוק|engraved
אויסאיידלען|לזכך, לעדן|to refine, to ennoble
אויסגעלייזט|נגאל, נפדה|redeemed
אפשאצן|להעריך|to estimate, to appreciate
דורכגעפאלן|נכשל|failed
אפשליסן|לנעול; להסיק|to lock; to conclude
צעברעכן|לשבור|to break apart
אנצוצינדן|להדליק|to light, to kindle
איינגעזאפט|ספג|absorbed, imbibed
דערווייטערן|להרחיק|to distance, to move away
געהאנדלט|פעל, נהג|acted, dealt
אפשלאגן|לדחות, להדוף|to reject, to repel
הערשער|שליט|ruler
אפלייג|דחייה; הנחה|postponement
צענטן|עשירי|tenth
ערדישע|ארצי|earthly
אויסנוצן|לנצל, להשתמש|to utilize
טאגטעגלעך|יומיומי|daily, everyday
באצייכענען|לציין, לסמן|to denote, to designate
אינערלעכן|פנימי|inner
צייטווייליק|זמני|temporary
אויספירלעך|בפירוט|in detail
נידעריקסטע|הנמוך ביותר|lowest
פארקערטע|הפוכים|reverse, opposite
דורכגעדרונגענע|חדורים|permeated
אויפגעהאלטען|החזיק; פרנס|sustained, held up
פארגאפט|נדהם, מוקסם|fascinated, agape
ארונטערנעהמען|להוריד|to take down
איבערגעבענהייט|מסירות|devotion
געדונגען|שכר, שכר לעבודה|hired
איינלאדונג|הזמנה|invitation
וועגענער|עגלות|wagons
אפגעשפארט|חסך|saved up
פארוואורפען|נזף, האשים|reproached
אויסקומעניש|מחיה, הסתדרות|subsistence
שפייזער|מפרנס, מזין|provider
אומאונטערבראכענע|בלתי פוסק|uninterrupted
גערטנעריי|גננות|gardening
אנשטעלען|למנות; להעמיד|to appoint; to set up
באהעלטעניש|מחבוא|hiding place
דערווידער|התנגדות|resistance
עהרליכקייט|יושר, הגינות|honesty
אויסצואוואנדערען|להגר|to emigrate
אויסוואנדערונג|הגירה|emigration
געסלאך|סמטאות|alleys
מאיעסטעטישע|מלכותי, הדור|majestic
פרעכטיגע|מפואר, נהדר|magnificent
איינגעוויקעלט|עטוף|wrapped
קאטעגאריע|סוג, קטגוריה|category
ווייכען|לסגת, לזוז|to yield, to give way
צוזאמענגעגאסען|נמזג יחד|merged
עלענדקייט|בדידות, אומללות|wretchedness
געטרייסט|ניחם|comforted
פארדינסטען|זכויות; רווחים|merits; earnings
געזעטיגט|שבע|satiated
פארהונגערט|מורעב|starved
צושטעהן|להצטרף, לסייע|to stand by
אויסדרעהען|להתחמק, לסובב|to twist out, to wriggle
פארדונגען|שכר, שכור|hired
אונטערגעהונגערט|תת-מוזן|undernourished
אויסגעדארטען|כחוש, מיובש|emaciated
דערנעהרט|פרנס, זן|nourished
אנצובאטען|להציע|to offer
פארשטערט|הפריע, שיבש|disrupted
יאגעניש|מרדף, טרדה|chase, rush
פלאגעניש|מצוקה, טרדה|torment, plague
דורכמאכען|לעבור, לחוות|to go through
גלענצענדען|מבריק, מזהיר|brilliant, shining
אויסגעהאלטענקייט|עקביות|consistency
פארטעמפט|קהה, מעומעם|dulled
געטריבען|הונע, נדחף|driven
פארבייצוגעהן|לעבור על פני|to pass by
צוים|גדר|fence
פארטרינקען|לטבוע; לשתות לשוכרה|to drown; to drink away
גרינצייג|ירקות|vegetables, greens
אפגעדונגען|התמקח, שכר|haggled, hired
אויסטויגען|להיות שווה, לצלוח|to be worth, to be fit
קיינעמס|של אף אחד|no one's
סטייטש|כיצד ייתכן?!|how can it be?!
פארקוקען|להתעלם, לפספס|to overlook
אומפארזיכטיג|לא זהיר|careless
הארצרייסענדיגער|קורע לב|heartrending
אפדינגען|להתמקח|to haggle
אפגעלאזט|הזניח, רשלני|neglected
לערנעריי|לימוד|studying, learning
טומעלדיג|רועש, סואן|noisy, bustling
ברייטפלייצעדיג|רחב כתפיים|broad-shouldered
טיעפזיניגקייט|עומק, הגות|profundity
אנגענעהמע|נעים|pleasant
ברייטהארציגקייט|רוחב לב, נדיבות|magnanimity, generosity
אנפאקען|לתפוס, להתחיל ב-|to grab, to tackle
איינדרוקספולען|מרשים|impressive
געמוט|מצב רוח, הלך נפש|disposition, mood
צוגעשאקעלט|ניענע בראשו|nodded
געצעגערט|היסס|hesitated
אונטערטעניגקייט|כניעות|submissiveness
ציטערדיג|רועד|trembling
קענטשאפט|היכרות|acquaintance
אומרעכט|עוול|injustice, wrong
עלעגאנט|אלגנטי|elegant
געשלונגען|בלע|swallowed
אפגעבריהט|חרוך; מנוסה קשוח|scalded; hardened
ארומגעדרעהט|הסתובב|turned around
אויסגעצאהלט|שולם|paid out
פארגונען|איחל בלב שלם|begrudged not, granted willingly
אנרוקען|להתקרב, לדחוף|to move up
פארפיהרט|פיתה, הוליך שולל|seduced, led astray
געפלעפט|נדהם, המום|dumbfounded
לייקענען|להכחיש|to deny
צעפלאמט|לוהט, בוער|aflame
געטומעלט|רעש, המה|made noise, bustled
פארנאנדערגעלאזט|הרפה, פיזר|let go, dispersed
צוגערוקט|התקרב|moved closer
קאוואדלע|סדן|anvil
פאדקאוועס|פרסות|horseshoes
אפרעכענען|לסלק חשבון, לחשב|to settle accounts
פארשטאפטער|סתום|clogged
פאטעלניצעס|מחבתות|frying pans
געשמייכעלט|חייך|smiled
פארטרונגען|חדר, ספג|penetrated
ארויסדרייען זיך|להתחמק, להיחלץ|to wriggle out, to extricate oneself
רוקביין|חוט השדרה|spine, backbone
דאָרוועס|יחף|barefoot
קרופניק|מרק גריסים סמיך|thick barley soup
פּאַסקודנע|מגעיל, מלוכלך|disgusting, filthy
אויסטאָפּטשען|לרמוס, לדרוך|to trample
ציגעל|לבנים|bricks
קלעקען|להספיק|to suffice, to be enough
צוגערעדט|שכנע, דיבר על לב|persuaded
געריהרט|ריגש, נגע ללב|touched, moved
אויפזיכט|השגחה, פיקוח|supervision
צוגעשטאנען|הצטרף, סייע|joined, assisted
געווידמעט|הוקדש|dedicated
קלעזמער|כליזמר, נגן|klezmer, musician
היילענדיגע|מרפא|healing
אויפזעהער|משגיח, מפקח|overseer, supervisor
געוואנדערט|נדד|wandered
ארומקלייבען|לאסוף, לקבץ|to gather around
אפגעפרעמדט|התנכר|estranged
אויספרובירט|בדק, ניסה|tried out, tested
אויפגעזוכט|חיפש ומצא|sought out
אומפארגעסליכען|בלתי נשכח|unforgettable
בעאיינפלוסען|להשפיע|to influence
אפצוקומען|לרדת; לסבול עונש|to come down; to suffer (punishment)
מאלצייט|ארוחה, סעודה|meal
פארטרויט|מהימן, סודי; הפקיד|confidential; entrusted
ליימענער|של חימר|of clay
אנגעלאפען|בא בריצה|came running
צושלאגענעם|מדוכא, שבור|dejected, downcast
אפגעלעגען|מרוחק, נידח|remote, secluded
צוגעוואוינט|רגיל, הורגל|accustomed
אויפבליהען|לפרוח|to blossom
איינגערופען|כינס, זימן|convened, summoned
זיבעציגער|של שבעים|of the seventies
גענעהט|תפר|sewed
אפמאכען|לסכם, להחליט|to agree, to settle
אפגעלעבט|חי עד תום, בלה|lived out
פאריבעל|טינה, עלבון|resentment, offense
באנוגענדיג|מסתפק|contenting oneself
פארעהרט|כיבד, העריץ|venerated
אונטערהאנדלען|לשאת ולתת|to negotiate
קענטעניש|ידיעה, היכרות|knowledge, acquaintance
אפגעשטויסען|דחה, הדף|repelled
געצערטעלט|פינק, ליטף|coddled, pampered
דערנעהנטערט|התקרב, קירב|drew near
געלופטערט|אוורר|aired out
געשטויבט|ניקה אבק, התאבק|dusted
לעדערנעם|של עור|leather
פארטוך|סינר|apron
אויפגעלויכטען|האיר, זרח|lit up
פייערל|אש קטנה, להבה|little fire
שטילשווייגען|שתיקה|silence
פארהייראט|נשוי, התחתן|married
וואוקס|קומה, גובה|stature, growth
שטענדער|עמוד, שטנדר|lectern
צעגלידערט|מפורק לחלקים|articulated, dismembered
געפלאגט|סבל, התייסר|plagued, tormented
זעלבסטבאוואוסטזיין|הכרה עצמית|self-awareness
שלייפען|ללטש, להשחיז|to grind, to sharpen
רויטקייט|אודם|redness
פראסטעסטע|הפשוט ביותר|simplest
באפרידיגענדען|מספק|satisfying
לייטערען|לזכך, לצרף|to purify, to refine
אפגעשטאנען|פיגר, נשאר מאחור|lagged behind
געהיימניס|סוד|secret
אונטערבייסן|לנשנש|to have a bite, to snack
שוועריגקייטען|קשיים|difficulties
געצעהלטע|ספורים, מועטים|numbered, few
צעגליווערט|קפוא|congealed
געצעלטער|אוהל|tent
טרייסטענדיג|מנחם|comforting
בעשייערט|נגזר, נועד|destined
פארשטאפטען|סתום|clogged
דערקלערענדיג|מסביר|explaining
אפצוזאגען|לסרב, לוותר|to refuse, to decline
געבליבענער|שנשאר|remaining
אונטערשטע|תחתונים|lowest
פארשטענדליכקייט|הבנה|comprehensibility
געוואלדיגען|אדיר, עצום|mighty, tremendous
אויסבריען|לבקוע, לדגור; לחלוט|to hatch out; to brew
שמיר|מריחה; סטירה|smear; slap
גיסט אַ שמיר|מורח|smears (gives a smear)
פאנאנדערגענומען|פירק, ניתח|took apart, disassembled
ריטל|דליה, זלזל|twig, switch
אומעדיג|עצוב, קודר|sad, gloomy
אומעדיקייט|עצבות, קדרות|sadness, gloominess
געמוטשעט|עינה, ייגע|tormented, wearied
שמערצן|לכאוב; כאבים|to hurt; pains
טעמפּראַטור|טמפרטורה|temperature
כליפּענדיק|מתייפח|sobbing
באפעלעריש|מצווה, תקיף|commanding, imperious
אָפּצוגלויבן|לחדול להאמין, לכפור|to disbelieve
געלוינט|השתלם, כדאי|was worthwhile, paid off
